id,tipo,tema,hanzi,pinyin,espanol,explicacion,ejemplo_hanzi,ejemplo_pinyin,ejemplo_espanol,pagina,etiquetas,ingles,explicacion_ingles,ejemplo_ingles,etiquetas_ingles,nombres_propios
FC032,palabra,saludos,怎么样,zěnmeyàng,cómo / qué tal,Pregunta por el estado o la opinión sobre alguien o algo.,您怎么样？,Nín zěnmeyàng?,¿Qué tal está usted?,3-5;15,pregunta;saludo,how / how about,Asks about someone’s state or their opinion about someone or something.,How are you?,question;greeting,
FC033,frase,saludos,你们怎么样？,Nǐmen zěnmeyàng?,¿Qué tal estáis? / ¿Cómo están ustedes?,Pregunta por el estado de varias personas.,你们怎么样？,Nǐmen zěnmeyàng?,¿Cómo estáis?,3-5,saludo;plural,How are you all?,Asks about the state of several people.,How are you all?,greeting;plural,
FC034,palabra,descripcion,很,hěn,muy,Va entre el sujeto y el adjetivo. A menudo no se traduce literalmente como «muy».,我很好。,Wǒ hěn hǎo.,Estoy muy bien.,3-5,adverbio;grado,very,Goes between the subject and an adjective; it is often not translated literally as “very”.,I am very well.,adverb;degree,
FC035,frase,descripcion,很好,hěn hǎo,muy bien,Respuesta positiva al preguntar cómo está alguien.,我很好。,Wǒ hěn hǎo.,Estoy muy bien.,3-5,estado;saludo,very good,Positive reply when asked how someone is.,I am very well.,state;greeting,
FC036,palabra,gramatica,不,bù,no,Adverbio de negación que se coloca antes de un verbo o adjetivo.,不好,bù hǎo,mal / no estar bien,4,negacion;basico,not,Negation placed before a verb or adjective.,not well,negation;basics,
FC037,frase,descripcion,不好,bù hǎo,mal / no estar bien,Valoración o estado negativo.,我最近不太好。,Wǒ zuìjìn bú tài hǎo.,Últimamente no estoy muy bien.,4-5,estado;negacion,bad / not well,Negative rating or state.,I haven’t been doing very well lately.,state;negation,
FC038,palabra,descripcion,一般,yìbān,normal / corriente / del montón,Describe algo normal o poco destacable. También puede significar «por lo general».,这家餐厅很一般。,Zhè jiā cāntīng hěn yìbān.,Este restaurante es del montón.,4,descripcion;valoracion,ordinary / so-so / average,Describes something average or unremarkable; it can also mean “generally”.,This restaurant is just average.,description;rating,
FC039,frase,saludos,您最近怎么样？,Nín zuìjìn zěnmeyàng?,¿Cómo está usted últimamente?,Versión respetuosa de la pregunta por cómo le va a alguien últimamente.,您最近怎么样？,Nín zuìjìn zěnmeyàng?,¿Cómo está usted últimamente?,3-4,saludo;formal,How have you been lately?,Respectful version of asking how someone has been lately.,How have you been lately?,greeting;formal,
FC040,frase,saludos,我很好。,Wǒ hěn hǎo.,Estoy muy bien.,Respuesta positiva sobre el propio estado.,您最近怎么样？我很好。,Nín zuìjìn zěnmeyàng? Wǒ hěn hǎo.,¿Cómo está usted últimamente? Estoy muy bien.,3-5,respuesta;saludo,I am very well.,Positive reply about your own state.,How have you been lately? I’m doing very well.,response;greeting,
FC041,frase,saludos,你们好吗？,Nǐmen hǎo ma?,¿Estáis bien? / ¿Están bien ustedes?,Pregunta cerrada dirigida a varias personas.,我们还行。,Wǒmen hái xíng.,Estamos bastante bien.,4;9,pregunta;plural,Are you all well?,Closed question addressed to several people.,We are doing all right.,question;plural,
FC042,frase,saludos,我们还行。,Wǒmen hái xíng.,Estamos bastante bien. / Vamos tirando.,Respuesta coloquial y moderadamente positiva sobre el estado de un grupo.,你们最近怎么样？我们还行。,Nǐmen zuìjìn zěnmeyàng? Wǒmen hái xíng.,¿Cómo estáis últimamente? Estamos bastante bien.,4,respuesta;plural,We are doing all right.,Colloquial and moderately positive reply about a group’s state.,How have you all been lately? We’re doing all right.,response;plural,
FC043,palabra,gramatica,呢,ne,¿y…? / partícula que retoma la pregunta,"Después de un tema, devuelve la misma pregunta: «¿y tú?», «¿y él?».",你呢？,Nǐ ne?,¿Y tú?,6;15,particula;pregunta,what about…? / and-you particle,"After a topic, it returns the same question: “and you?”, “and him?”.",And you?,particle;question,
FC044,frase,saludos,你呢？,Nǐ ne?,¿Y tú?,Pregunta el mismo dato sobre la otra persona sin repetir toda la oración.,我很好，你呢？,"Wǒ hěn hǎo, nǐ ne?","Estoy muy bien, ¿y tú?",6;15,pregunta;conversacion,What about you?,Asks the same point about the other person without repeating the whole sentence.,"I’m very well, and you?",question;conversation,
FC045,palabra,basico,大,dà,grande,Adjetivo básico; forma parte de 大家.,大家,dàjiā,todos / todo el mundo,5-6;15,adjetivo;caracter,big / large,Basic adjective; part of 大家.,everyone / everybody,adjective;character,
FC046,palabra,basico,家,jiā,casa / familia / hogar,"Según el contexto, puede referirse al lugar donde se vive, al hogar o a la familia; también forma parte de 大家.",我家,wǒ jiā,mi casa / mi familia,6;15,sustantivo;familia;basico,home / family / household,"Depending on context it can mean the place where one lives, the home, or the family; it is also part of 大家.",my home / my family,noun;family;basics,
FC047,palabra,pronombres,大家,dàjiā,todos / todo el mundo,Pronombre colectivo para un grupo de personas; no equivale a «todos» delante de cualquier sustantivo.,大家好！,Dàjiā hǎo!,¡Hola a todos!,6;9;15,plural;saludo,everyone / everybody,Collective pronoun for a group of people; it does not equal “every” before just any noun.,Hello everyone!,plural;greeting,
FC048,palabra,gramatica,也,yě,también,Adverbio que suele colocarse antes del verbo o predicado.,我也很好。,Wǒ yě hěn hǎo.,Yo también estoy muy bien.,6;15,adverbio;basico,also / too,Adverb that usually goes before the verb or predicate.,I am also very well.,adverb;basics,
FC049,concepto,puntuacion,标点符号,biāodiǎn fúhào,¿Qué signos se usan para puntuar en chino?,"Se usan ， 。 ！ y ？, sin signos de apertura.",你好！你好吗？,Nǐ hǎo! Nǐ hǎo ma?,¡Hola! ¿Estás bien?,5,puntuacion;escritura,Which marks are used to punctuate Chinese?,"，, 。, ！ and ？ are used, without opening marks.",Hello! How are you?,punctuation;writing,
FC050,concepto,cultura,送礼禁忌,sònglǐ jìnjì,¿Por qué conviene conocer las costumbres chinas al elegir un regalo?,Algunos regalos se evitan por su sonido o sus asociaciones culturales; no son reglas universales.,送礼,sònglǐ,hacer un regalo,5,cultura;regalos,Why is it worth knowing Chinese customs when choosing a gift?,Some gifts are avoided for their sound or cultural associations; these are not universal rules.,giving a gift,culture;gifts,
FC051,concepto,cultura,钟／送钟,zhōng / sòng zhōng,¿Por qué algunas personas evitan regalar relojes?,Porque 送钟 («regalar un reloj») suena igual que una expresión relacionada con la muerte.,别送钟。,Bié sòng zhōng.,No regales un reloj.,5,cultura;regalos;homofono,Why do some people avoid giving clocks?,Because 送钟 (“giving a clock”) sounds like an expression related to death.,Don’t give a clock.,culture;gifts;homophone,
FC052,concepto,cultura,伞／散,sǎn / sàn,¿Por qué algunas personas evitan regalar paraguas?,Porque 伞 («paraguas») suena parecido a 散 («separarse»).,送伞,sòng sǎn,regalar un paraguas,5,cultura;regalos;homofono,Why do some people avoid giving umbrellas?,Because 伞 (“umbrella”) sounds similar to 散 (“to part”).,giving an umbrella,culture;gifts;homophone,
FC053,concepto,cultura,梨／离,lí / lí,¿Por qué algunas personas evitan regalar peras?,"Porque 梨, «pera», suena igual que 离, «separarse» o «alejarse».",送梨,sòng lí,regalar una pera,5,cultura;regalos;homofono,Why do some people avoid giving pears?,"Because 梨, “pear”, sounds like 离, “to part” or “to go away”.",giving a pear,culture;gifts;homophone,
FC054,concepto,cultura,鞋／邪,xié / xié,¿Por qué algunas personas evitan regalar zapatos?,Porque 鞋 («zapatos») suena parecido a 邪 («maligno»).,送鞋,sòng xié,regalar zapatos,5,cultura;regalos;homofono,Why do some people avoid giving shoes?,Because 鞋 (“shoes”) sounds similar to 邪 (“evil”).,giving shoes,culture;gifts;homophone,
FC055,concepto,cultura,绿帽子,lǜ màozi,¿Por qué se considera inapropiado regalar un sombrero verde?,"Porque 戴绿帽子, «llevar un sombrero verde», significa que la pareja de un hombre le ha sido infiel.",戴绿帽子,dài lǜ màozi,ser víctima de una infidelidad,5,cultura;regalos;expresion,Why is giving a green hat considered inappropriate?,"Because 戴绿帽子, “to wear a green hat”, means that a man’s partner has been unfaithful to him.",to be on the receiving end of unfaithfulness,culture;gifts;expression,
FC056,palabra,familia,爸爸,bàba,papá / padre (forma habitual),Forma familiar y cotidiana de referirse al padre.,我爸爸,wǒ bàba,mi padre,7;9;11,familia,dad / father (usual form),"The familiar, everyday way to refer to one’s father.",my father,family,
FC057,palabra,familia,妈妈,māma,mamá / madre (forma habitual),Forma familiar y cotidiana de referirse a la madre.,我妈妈,wǒ māma,mi madre,7;9,familia,mom / mother (usual form),"The familiar, everyday way to refer to one’s mother.",my mother,family,
FC058,palabra,familia,爷爷,yéye,abuelo paterno,Padre del padre.,我爷爷,wǒ yéye,mi abuelo paterno,7;12,familia,paternal grandfather,One’s father’s father.,my paternal grandfather,family,
FC059,palabra,familia,奶奶,nǎinai,abuela paterna,Madre del padre.,我奶奶,wǒ nǎinai,mi abuela paterna,7;12,familia,paternal grandmother,One’s father’s mother.,my paternal grandmother,family,
FC060,palabra,familia,外公,wàigōng,abuelo materno,Abuelo por parte de madre. 外 señala la rama materna; el término varía según la región.,外公,wàigōng,abuelo materno,7,familia,maternal grandfather,One’s mother’s father. 外 marks the maternal side; the term varies by region.,maternal grandfather,family,
FC061,palabra,familia,外婆,wàipó,abuela materna,Abuela por parte de madre. 外 señala la rama materna; el término varía según la región.,外婆,wàipó,abuela materna,7,familia,maternal grandmother,One’s mother’s mother. 外 marks the maternal side; the term varies by region.,maternal grandmother,family,
FC062,palabra,gramatica,的,de,de / partícula posesiva o atributiva,Une el poseedor y lo poseído: A 的 B = «el B de A».,我的妈妈,wǒ de māma,mi madre,7;11-12,particula;posesion,of / possessive or attributive particle,Connects the possessor and the possessed: A 的 B means “the B of A”.,my mother,particle;possession,
FC063,concepto,gramatica,亲属称谓前常省略“的”,qīnshǔ chēngwèi qián cháng shěnglüè de,¿Cuándo suele omitirse 的 ante un término de parentesco?,Con familiares cercanos suele omitirse: 我妈妈 es más natural que 我的妈妈.,我的妈妈 → 我妈妈,wǒ de māma → wǒ māma,mi madre,7,posesion;familia,When is 的 usually dropped before a kinship term?,With close relatives it is often dropped: 我妈妈 is more natural than 我的妈妈.,my mother,possession;family,
FC064,frase,familia,我的妈妈,wǒ de māma,"mi madre (forma posesiva explícita, con énfasis o contraste)","Forma con 的, usada especialmente con contraste o énfasis; en una mención neutra suele decirse 我妈妈.",这是我的妈妈。,Zhè shì wǒ de māma.,Esta es mi madre.,7;9,familia;posesion,"my mother (explicit possessive form, with emphasis or contrast)","The form with 的, used especially for contrast or emphasis; in a neutral mention 我妈妈 is more common.",This is my mother.,family;possession,
FC065,frase,familia,我妈妈,wǒ māma,"mi madre (forma familiar habitual, sin partícula)",Forma habitual que omite 的 por tratarse de una relación cercana.,我妈妈姓徐。,Wǒ māma xìng Xú.,Mi madre se apellida Xu.,7;9,familia;posesion,"my mother (usual familiar form, without the particle)",The ordinary form that drops 的 because the relation is close.,My mother’s surname is Xu.,family;possession,徐;Xú;Xu
FC066,palabra,paises,中国,Zhōngguó,China,Nombre del país.,中国,Zhōngguó,China,7,pais,China,The name of the country.,China,country,中国;Zhōngguó;China
FC067,palabra,paises,日本,Rìběn,Japón,Nombre del país.,日本,Rìběn,Japón,7,pais,Japan,The name of the country.,Japan,country,日本;Rìběn;Japón
FC068,palabra,paises,韩国,Hánguó,Corea del Sur,Nombre habitual de Corea del Sur en mandarín.,韩国,Hánguó,Corea del Sur,7,pais,South Korea,Common Mandarin name for South Korea.,South Korea,country,韩国;Hánguó;Corea del Sur
FC069,palabra,nombres,叫,jiào,llamarse / llamar,Se usa para decir el nombre completo o el nombre por el que se conoce a alguien.,我叫小明。,Wǒ jiào Xiǎomíng.,Me llamo Xiaoming.,8-12,verbo;presentacion,to be called / to name,Used to say someone’s full name or the name by which they are known.,My name is Xiaoming.,verb;introduction,小明;Xiǎomíng;Xiaoming
FC070,palabra,nombres,姓,xìng,apellidarse / apellido,"Como verbo, indica el apellido de una persona.",他姓吴。,Tā xìng Wú.,Él se apellida Wu.,8-14,verbo;apellido,to be surnamed / surname,"As a verb, it indicates a person’s family name.",His surname is Wu.,verb;surname,吴;Wú;Wu
FC071,palabra,nombres,名字,míngzi,nombre,Se refiere al nombre de una persona; según el contexto puede abarcar el nombre completo.,你叫什么名字？,Nǐ jiào shénme míngzi?,¿Cómo te llamas?,8-11,sustantivo;presentacion,name,Refers to a person’s name; depending on context it can cover the full name.,What is your name?,noun;introduction,
FC072,palabra,basico,是,shì,ser,Verbo copulativo usado para identificar o clasificar; no suele conectar un sujeto con un adjetivo simple.,我是José。,Wǒ shì José.,Soy José.,8-9;14,verbo;basico,to be,Copular verb used to identify or classify; usually not used to link a subject to a simple adjective.,I am José.,verb;basics,José
FC073,concepto,nombres,姓＋名,xìng + míng,¿En qué orden van el apellido y el nombre en chino?,El apellido (姓) suele escribirse antes del nombre de pila (名).,张欣,Zhāng Xīn,Zhang es el apellido y Xin el nombre.,10-11,nombre;apellido,In what order do surname and given name go in Chinese?,The surname (姓) usually comes before the given name (名).,Zhang is the surname and Xin the given name.,name;surname,张欣;张;欣;Zhāng Xīn;Zhāng;Xīn;Zhang Xin;Zhang;Xin
FC074,concepto,nombres,姓通常是一个汉字,xìng tōngcháng shì yí ge hànzì,¿Cuántos caracteres suele tener un apellido chino?,"La mayoría tiene un solo carácter, aunque también existen apellidos compuestos.",吴、刘、孙,"Wú, Liú, Sūn",Apellidos de un carácter.,10-14,apellido;caracter,How many characters does a Chinese surname usually have?,"Most have a single character, though compound surnames also exist.",Surnames of one character.,surname;character,吴;刘;孙;Wú;Liú;Sūn
FC075,concepto,nombres,名通常由一到两个汉字组成,míng tōngcháng yóu yí dào liǎng ge hànzì zǔchéng,¿Cuántos caracteres suele tener un nombre de pila chino?,Suele tener uno o dos caracteres elegidos por su sonido y significado.,欣／小明,Xīn / Xiǎomíng,Ejemplos de nombres de pila de uno y dos caracteres.,10-12,nombre;caracter,How many characters does a Chinese given name usually have?,It usually has one or two characters chosen for their sound and meaning.,Examples of one-and-two-character given names.,name;character,欣;小明;Xīn;Xiǎomíng
FC076,frase,nombres,我的名字叫Jan。,Wǒ de míngzi jiào Jan.,Me llamo Jan.,Patrón 我的名字叫 + nombre; en la conversación cotidiana suele bastar con 我叫 + nombre.,我的名字叫Jan。,Wǒ de míngzi jiào Jan.,Me llamo Jan.,8,presentacion;patron,My name is Jan.,Pattern 我的名字叫 + name; in everyday conversation 我叫 + name is usually enough.,My name is Jan.,introduction;pattern,Jan
FC077,frase,nombres,我叫小明。,Wǒ jiào Xiǎomíng.,Me llamo Xiaoming.,Patrón 我叫 + nombre.,我叫小明。,Wǒ jiào Xiǎomíng.,Me llamo Xiaoming.,8,presentacion;patron,My name is Xiaoming.,Pattern 我叫 + name.,My name is Xiaoming.,introduction;pattern,小明;Xiǎomíng;Xiaoming
FC078,frase,nombres,他姓吴。,Tā xìng Wú.,Él se apellida Wu.,Patrón sujeto + 姓 + apellido.,他姓吴。,Tā xìng Wú.,Él se apellida Wu.,8,apellido;patron,His surname is Wu.,Pattern subject + 姓 + surname.,His surname is Wu.,surname;pattern,吴;Wú;Wu
FC079,frase,presentaciones,大家好！我叫Dani。,Dàjiā hǎo! Wǒ jiào Dani.,¡Hola a todos! Me llamo Dani.,Presentación breve y natural ante un grupo.,大家好！我叫Dani。,Dàjiā hǎo! Wǒ jiào Dani.,¡Hola a todos! Me llamo Dani.,9,deberes;presentacion,Hello everyone! My name is Dani.,"Short, natural introduction in front of a group.",Hello everyone! My name is Dani.,homework;introduction,Dani
FC080,frase,presentaciones,我姓García，叫Carla。,"Wǒ xìng García, jiào Carla.",Me apellido García y me llamo Carla.,Combina 姓 para el apellido y 叫 para el nombre.,我姓García，叫Carla。,"Wǒ xìng García, jiào Carla.",Me apellido García y me llamo Carla.,9,deberes;apellido;nombre,My surname is García and my given name is Carla.,Combines 姓 for the surname and 叫 for the given name.,My surname is García and my given name is Carla.,homework;surname;name,García;Carla
FC081,frase,presentaciones,大家好！你们最近怎么样？,Dàjiā hǎo! Nǐmen zuìjìn zěnmeyàng?,¡Hola a todos! ¿Cómo estáis últimamente?,Saludo y pregunta natural a varias personas.,大家好！你们最近怎么样？,Dàjiā hǎo! Nǐmen zuìjìn zěnmeyàng?,¡Hola a todos! ¿Cómo estáis últimamente?,9,deberes;saludo,Hello everyone! How have you all been lately?,Natural greeting and question to several people.,Hello everyone! How have you all been lately?,homework;greeting,
FC082,frase,presentaciones,你好，我是José，她是Fátima。,"Nǐ hǎo, wǒ shì José, tā shì Fátima.","Hola, soy José y ella es Fátima.",Presenta al hablante y a otra persona.,你好，我是José，她是Fátima。,"Nǐ hǎo, wǒ shì José, tā shì Fátima.","Hola, soy José y ella es Fátima.",9,deberes;presentacion,"Hello, I’m José and this is Fátima.",Introduces the speaker and another person.,"Hello, I’m José and she is Fátima.",homework;introduction,José;Fátima
FC083,frase,presentaciones,你好，我叫Manuel，我爸爸叫Pablo。,"Nǐ hǎo, wǒ jiào Manuel, wǒ bàba jiào Pablo.","Hola, me llamo Manuel y mi padre se llama Pablo.",Ejemplo natural de presentación personal y familiar.,你好，我叫Manuel，我爸爸叫Pablo。,"Nǐ hǎo, wǒ jiào Manuel, wǒ bàba jiào Pablo.","Hola, me llamo Manuel y mi padre se llama Pablo.",9,deberes;familia,"Hello, my name is Manuel and my father is called Pablo.",Natural example of a personal and family introduction.,"Hello, my name is Manuel and my father is called Pablo.",homework;family,Manuel;Pablo
FC084,frase,presentaciones,我妈妈姓徐，我姓刘。,"Wǒ māma xìng Xú, wǒ xìng Liú.",Mi madre se apellida Xu y yo me apellido Liu.,Ejemplo que contrasta dos apellidos familiares.,我妈妈姓徐，我姓刘。,"Wǒ māma xìng Xú, wǒ xìng Liú.",Mi madre se apellida Xu y yo me apellido Liu.,9,deberes;familia;apellido,My mother’s surname is Xu and mine is Liu.,Example contrasting two family surnames.,My mother’s surname is Xu and my surname is Liu.,homework;family;surname,徐;刘;Xú;Liú;Xu;Liu
FC085,palabra,nombres,陆,lù / Lù,tierra firme (en compuestos) / apellido Lu,Significa «tierra firme» en algunos compuestos y también es el apellido Lù.,陆,Lù,apellido Lu,11,caracter;apellido,dry land (in compounds) / surname Lu,It means “dry land” in some compounds and is also the surname Lù.,surname Lu,character;surname,陆;Lù;Lu
FC086,frase,presentaciones,你好，我叫张欣。,"Nǐ hǎo, wǒ jiào Zhāng Xīn.","Hola, me llamo Zhang Xin.",Ejemplo de nombre chino con el apellido antes del nombre.,你好，我叫张欣。,"Nǐ hǎo, wǒ jiào Zhāng Xīn.","Hola, me llamo Zhang Xin.",11,presentacion;nombre,"Hello, my name is Zhang Xin.",Example of a Chinese name with the surname before the given name.,"Hello, my name is Zhang Xin.",introduction;name,张欣;Zhāng Xīn;Zhang Xin
